Species	HA1	HA2	HA3	HA4	HA5	HA6	HA7	HB1	HB2	HB3	HB4	HB5	HB6	HB7	HC1	HC2	HC3	HC4	HC5	HC6	HC7	HD1	HD2	HD3	HD4	HD5	HD6	HD7	HE1	HE2	HE3	HE4	HE5	HE6	HE7	HF1	HF2	HF3	HF4	HF5	HF6	HF7	VA1	VA2	VA3	VA4	VA5	VD1	VD2	VD3	VD4	VD5	VF1	VF2	VF3	VF4	VF5	MA1	MA2	MA3	MA4	MA5	MA6	MB1	MB2	MB3	MB4	MB5	MB6	MC1	MC2	MC3	MC4	MC5	MC6	MD1	MD2	MD3	MD4	MD5	MD6	ME1	ME2	ME3	ME4	ME5	ME6	MF1	MF2	MF3	MF4	MF5	MF6	YA1	YA2	YA3	YA4	YA5	YD1	YD2	YD3	YD4	YD5	YF1	YF2	YF3	YF4	YF5
Rufibacter tibetensis	0	0	0.04	0	0.01	0	0.01	0	0.03	0.04	0	0.01	0	0	0	0	0.03	0	0	0	0.01	0.01	0.04	0.01	0	0.01	0	0	0.01	0	0.04	0	0.01	0	0.01	0.01	0.08	0.02	0	0	0	0	0.002	0.028	0.002	0.004	0.005	0.001	0.029	0.012	0.003	0.004	0.002	0.022	0.011	0.003	0.006	0.01	0.01	0.01	0.02	0.02	0.02	0.02	0.01	0.02	0.02	0.02	0.01	0.02	0.01	0.01	0.01	0.02	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0	0	0.01	0	0.01	0.01	0.01	0.01	0.02	0.01	0.02	0.02	0.02	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01
Rhodothermus marinus	0	0	0.01	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0.01	0	0	0	0	0.01	0	0.01	0	0.01	0	0	0.01	0	0.01	0	0	0	0	0.005	0.006	0.001	0.003	0.006	0.002	0.008	0.002	0.003	0.006	0.002	0.012	0.014	0.003	0.008	0.01	0.01	0.02	0.02	0.02	0.02	0.01	0.01	0.02	0.02	0.02	0.02	0.02	0.02	0.01	0.01	0.02	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.02	0.01	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.01	0.01	0.02	0.02	0.02	0.01
Clostridium sp. CT4	0.01	0.01	0.01	0.01	0	0	0.01	0.01	0.01	0.01	0.01	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0	0.01	0	0.02	0.01	0	0.01	0	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.02	0.01	0.01	0.017	0.017	0.025	0.005	0.009	0.006	0.013	0.012	0.007	0.019	0.008	0.012	0.019	0.014	0.016	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.02	0.01	0.01	0.02	0.02	0.02	0.01	0.02	0.01	0.02	0.02	0.01
Clostridium cellulovorans	0.02	0.01	0.01	0.01	0.01	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0	0.01	0.01	0.01	0	0.01	0.01	0.01	0	0.02	0.02	0	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.02	0.01	0.01	0.01	0.009	0.024	0.019	0.007	0.012	0.015	0.018	0.02	0.014	0.018	0.009	0.014	0.015	0.018	0.013	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.01	0.02	0.01	0.02	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.02	0.02	0.01	0.01	0.01	0.02	0.02	0.01
Clostridium autoethanogenum	0	0	0.01	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0.002	0.001	0.001	0	0.001	0.001	0.002	0.001	0.001	0.001	0	0.001	0.002	0	0.02	0.01	0.01	0.01	0.02	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.02	0.02	0.02	0.01	0.02	0.02	0.01	0.01	0	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.03	0.02	0.03	0.02	0.03	0.04	0.01	0.02	0.02	0.02	0.02	0.02
Pseudomonas fulva	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0.002	0.001	0	0	0.001	0.003	0.002	0.001	0.003	0	0.002	0.001	0.001	0.003	0.01	0.02	0.02	0.02	0.02	0.02	0.01	0.01	0.02	0.02	0.02	0.02	0.02	0.02	0.01	0.01	0.02	0.02	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0	0.01	0.01	0.01	0.01	0.01	0.02	0.03	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.01	0.01	0.01	0.02	0.02	0.01
Mesorhizobium ciceri	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0.01	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0.002	0.001	0.001	0.004	0	0.003	0.004	0.001	0.003	0.001	0.002	0.002	0	0.003	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
Burkholderia cepacia	0	0	0	0	0	0	0.01	0.01	0.01	0	0.01	0	0	0	0	0.01	0	0.01	0	0	0.01	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0.006	0.004	0.002	0.003	0.002	0.001	0.005	0.002	0.002	0.006	0.003	0.002	0.002	0.001	0.006	0.01	0.01	0.02	0.02	0.02	0.02	0.01	0.01	0.02	0.01	0.02	0.02	0.02	0.01	0.01	0.01	0.02	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0	0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.01	0.02	0.01	0.01	0.01	0.02	0.02	0.01
Variovorax paradoxus	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0.01	0	0	0.01	0	0.009	0.01	0.003	0.006	0.003	0.002	0.013	0.004	0.003	0.011	0.006	0.01	0.01	0.003	0.011	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
Cloacibacillus porcorum	0.46	0	0.02	0	0	0	0	0.28	0	0.01	0	0	0.01	0	1.06	0.01	0.02	0.01	0.01	0	0	1.4	0.01	0.02	0	0	0.01	0	0.84	0	0.01	0.01	0.01	0.01	0	0.23	0	0.02	0.02	0.01	0.02	0	0.038	0.009	0.007	0.013	0.007	0.004	0.012	0.007	0.005	0.08	0.003	0.008	0.038	0.003	0.033	0.01	0.02	0.02	0.01	0.02	0.01	0.01	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.01	0.01	0.01	0.02	0.02	0.02	0.01	0.01	0.01	0.01	0.02	0.02	0.01	0.01	0.01	0.01	0	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.02	0.02	0.02	0.01	0.02	0.02	0.01	0.02	0.02	0.02	0.02	0.02
Hymenobacter nivis	0	0	0.01	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0.01	0	0	0	0	0.01	0	0	0	0	0.003	0.013	0.002	0.003	0.004	0.001	0.014	0.008	0.002	0.005	0.004	0.015	0.011	0.001	0.006	0.01	0.01	0.02	0.02	0.02	0.02	0.01	0.01	0.02	0.02	0.02	0.02	0.02	0.02	0.01	0.01	0.02	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.01	0.01	0.01	0.01	0.02	0.01	0.01
Hymenobacter sp. DG25B	0	0	0.01	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0.004	0	0.002	0.004	0.001	0.004	0.004	0.002	0.002	0.003	0.01	0.004	0.004	0.005	0.02	0.01	0.02	0.02	0.02	0.02	0.01	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.01	0.01	0.02	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.01	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.02	0.02	0.02	0.02	0.03	0.02	0.01	0.02	0.01	0.01	0.02	0.02	0.01
Spirosoma montaniterrae	0	0	0.01	0	0.01	0.01	0	0	0.01	0.01	0	0.01	0	0	0	0	0.01	0	0	0	0	0	0.01	0.01	0	0	0	0	0.01	0	0.01	0	0.01	0	0	0.01	0.02	0.01	0	0	0	0	0.003	0.018	0.003	0.003	0.004	0.001	0.019	0.007	0.004	0.003	0.005	0.022	0.018	0.002	0.005	0.01	0.01	0.01	0.01	0.02	0.02	0.01	0.01	0.02	0.02	0.02	0.01	0.02	0.01	0.01	0.01	0.02	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.02	0.02	0.02	0.01	0.02	0.02	0.01	0.01	0.01	0.01	0.02	0.01	0.01
Fibrella sp. ES10-3-2-2	0	0	0.01	0	0.01	0	0	0	0.01	0.01	0	0.01	0	0	0	0	0.01	0	0	0	0	0	0.01	0	0	0.01	0	0	0	0	0.01	0	0.01	0	0	0	0.02	0.01	0	0	0	0	0.003	0.012	0.001	0.004	0.005	0.002	0.013	0.007	0.008	0.004	0.006	0.015	0.01	0.004	0.006	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
Sphingobacteriaceae bacterium GW460-11-11-14-LB5	0	0	0.03	0	0.01	0	0	0	0.02	0.03	0	0.01	0	0	0	0	0.02	0	0	0	0	0	0.03	0.01	0	0.01	0	0	0.01	0	0.03	0	0.01	0	0	0.01	0.06	0.02	0	0	0	0	0.004	0.031	0.004	0.008	0.007	0.002	0.031	0.012	0.007	0.004	0.003	0.025	0.007	0.003	0.006	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
Arachidicoccus sp. BS20	0	0	0.02	0	0.01	0	0	0	0.01	0.02	0	0.01	0	0	0	0	0.01	0	0	0	0	0	0.02	0.01	0	0.01	0	0	0	0	0.02	0	0.01	0	0	0	0.03	0.01	0	0	0	0	0.004	0.017	0.002	0.006	0.003	0.001	0.016	0.006	0.004	0.004	0.008	0.013	0.007	0.003	0.006	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.02	0.01	0.02	0.01	0.02	0.02	0.02	0.01	0.01	0.01	0.02	0.01	0.01
Filimonas lacunae	0	0	0.02	0	0.01	0.01	0	0	0.01	0.02	0	0.02	0.01	0	0	0	0.01	0	0.01	0	0	0	0.01	0.01	0	0.01	0	0	0.01	0	0.02	0	0.01	0	0	0	0.02	0.01	0	0	0	0	0.006	0.024	0.004	0.007	0.013	0.002	0.023	0.017	0.014	0.006	0.006	0.023	0.009	0.005	0.009	0.01	0.02	0.02	0.02	0.02	0.02	0.01	0.01	0.02	0.02	0.02	0.02	0.02	0.02	0.01	0.01	0.01	0.02	0.02	0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.01	0.01	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.02	0.01	0.02	0.02	0.02	0.01	0.01	0.02	0.02	0.01	0.01
Cellulosilyticum sp. WCF-2	0.01	0.01	0.01	0.02	0.01	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0	0.01	0.01	0.01	0	0.01	0	0	0.01	0.01	0.01	0.01	0	0	0	0	0.02	0.01	0	0	0.006	0.009	0.011	0.005	0.027	0.011	0.009	0.014	0.006	0.007	0.007	0.008	0.014	0.008	0.012	0.01	0.02	0.01	0.01	0.02	0.02	0.01	0.02	0.02	0.02	0.02	0.02	0.01	0.02	0.01	0.01	0.01	0.02	0.02	0.02	0.01	0.01	0.01	0.01	0.02	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.02	0.02	0.02	0.02	0.03	0.01	0.02	0.02	0.02	0.03	0.01
[Clostridium] cellulosi	0.01	0	0.01	0.01	0.01	0	0	0.01	0	0.01	0.01	0	0	0.01	0.01	0.01	0.01	0.03	0.01	0.01	0.01	0.01	0	0.01	0.01	0.01	0	0.01	0.01	0	0.01	0.01	0.01	0.01	0.01	0.01	0	0.01	0.02	0.01	0.01	0	0.025	0.016	0.007	0.005	0.011	0.003	0.017	0.014	0.006	0.045	0.008	0.019	0.022	0.015	0.021	0.01	0.02	0.01	0.01	0.02	0.01	0.01	0.01	0.02	0.02	0.02	0.02	0.01	0.02	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.01	0.02	0.01	0.01	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.02	0.02	0.01	0.02	0.03	0.01	0.02	0.01	0.02	0.02	0.02
Clostridium tetani	0.01	0.01	0.01	0.01	0.01	0	0	0.01	0	0.01	0.01	0.01	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0	0.01	0	0.01	0	0.01	0.01	0	0.01	0	0.01	0.01	0.01	0.01	0	0.01	0.01	0.01	0.01	0.01	0.006	0.014	0.016	0.004	0.009	0.009	0.01	0.017	0.006	0.016	0.006	0.013	0.011	0.019	0.009	0.01	0.02	0.01	0.01	0.02	0.01	0.01	0.01	0.02	0.02	0.01	0.02	0.02	0.02	0.01	0.01	0.01	0.02	0.02	0.01	0.01	0.01	0.01	0.02	0.02	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.02	0.02	0.01	0.02	0.02	0.02	0.01	0.01	0.02	0.02	0.02	0.02
Clostridium saccharobutylicum	0.01	0.01	0.01	0.01	0	0	0.01	0.01	0	0.01	0.01	0.01	0	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0	0.01	0.01	0.01	0	0.04	0.01	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.012	0.029	0.005	0.01	0.008	0.011	0.014	0.012	0.017	0.007	0.016	0.019	0.02	0.013	0.01	0.02	0.01	0.01	0.02	0.02	0.01	0.01	0.02	0.02	0.01	0.02	0.01	0.02	0.01	0.01	0.01	0.02	0.02	0.01	0.01	0.01	0.01	0.02	0.02	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.01	0.02	0.02	0.02	0.02	0.01
Clostridium sp. SYSU GA15002T	0.01	0.01	0.01	0.01	0.01	0	0	0.01	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0	0.01	0.01	0.01	0	0.01	0.01	0	0.01	0.01	0.01	0.01	0.01	0.01	0	0.01	0.02	0.01	0	0.01	0.012	0.015	0.01	0.004	0.008	0.007	0.013	0.01	0.008	0.017	0.007	0.008	0.019	0.008	0.008	0.01	0.02	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.02	0.01	0.02	0.01	0.02	0.01	0.01	0.01	0.02	0.02	0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.02	0.01	0.01	0.02	0.02	0.01	0.02	0.02	0.02	0.02	0.01
Dehalobacterium formicoaceticum	0.01	0	0.01	0.01	0	0	0.01	0.01	0	0.01	0.01	0	0	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0	0.01	0	0.01	0	0.01	0.01	0	0.01	0	0.01	0	0.01	0.01	0	0.01	0.01	0.01	0	0.01	0.01	0.01	0.007	0.004	0.011	0.004	0.009	0.01	0.009	0.024	0.003	0.006	0.01	0.008	0.012	0.02	0.02	0.02	0.01	0.02	0.02	0.01	0.02	0.02	0.02	0.02	0.02	0.01	0.03	0.01	0.01	0.01	0.01	0.02	0.02	0.01	0.01	0.01	0.02	0.02	0.02	0.01	0.01	0.01	0.01	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.02	0.01	0.02	0.03	0.01	0.02	0.02	0.02	0.02	0.02
Hungateiclostridium thermocellum	0.01	0	0.01	0.01	0	0	0	0.01	0	0.01	0.01	0	0	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0	0.01	0.01	0.01	0	0.01	0.01	0	0.01	0.01	0.01	0.01	0.01	0	0	0.01	0.02	0.01	0	0.01	0.014	0.013	0.006	0.005	0.008	0.007	0.013	0.01	0.011	0.029	0.007	0.013	0.015	0.013	0.014	0.01	0.02	0.01	0.01	0.02	0.02	0.01	0.02	0.02	0.02	0.02	0.02	0.02	0.03	0.01	0.01	0.01	0.02	0.02	0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.01	0.01	0.01	0.01	0	0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.01	0.02	0.02	0.02	0.02	0.02
Acidaminococcus intestini	0.04	0	0.01	0.01	0	0	0.01	0.05	0	0.01	0.01	0.01	0	0.01	0.05	0	0.02	0.01	0	0.01	0.01	0.03	0	0.01	0	0.01	0	0.01	0.06	0	0.01	0	0.01	0.01	0.01	0.04	0	0.01	0.01	0.01	0.01	0.01	0.006	0.024	0.015	0.009	0.014	0.005	0.025	0.006	0.005	0.042	0.006	0.017	0.005	0.012	0.058	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0	0.01	0.01	0	0.01	0.01	0.02	0.02	0.02	0.01	0.01	0.02	0.02	0.02	0.02	0.01	0.01	0.01	0.02	0.02	0.02
Olsenella sp. GAM18	0.02	0.01	0.02	0.01	0.01	0.04	0.01	0.03	0.01	0.01	0.02	0.01	0.06	0.01	0.04	0.02	0.01	0.02	0.02	0.17	0.01	0.02	0.01	0.01	0	0.01	0.06	0.01	0.03	0.01	0.02	0	0.01	0.17	0.02	0.03	0	0.02	0.01	0.02	0.13	0.01	0.015	0.116	0.008	0.016	0.009	0.009	0.105	0.016	0.003	0.03	0.006	0.015	0.02	0.011	0.023	0.02	0.02	0.02	0.01	0.01	0.02	0.01	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.01	0.01	0.01	0.01	0.02	0.02	0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.01	0.01	0.01	0	0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.01	0.01	0.01	0.02	0.02	0.01
Dehalococcoides mccartyi	0	0	0.01	0.01	0	0	0	0.01	0.01	0.01	0.01	0	0	0	0.01	0	0.01	0.01	0	0.01	0	0.01	0.01	0.01	0	0	0	0	0.01	0	0.01	0	0	0	0	0	0.01	0.01	0.01	0.01	0	0	0.007	0.009	0.004	0.003	0.003	0.003	0.009	0.005	0.002	0.052	0.002	0.013	0.026	0.003	0.009	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.02	0.01	0.02	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.02	0.02	0.01	0.02	0.02	0.01	0.01	0.02	0.02	0.02	0.02
Treponema denticola	0	0	0.01	0.01	0.01	0.01	0	0.01	0.02	0.01	0.01	0.01	0	0	0	0	0.01	0.01	0.01	0	0	0.01	0.02	0.01	0.01	0.01	0	0	0	0	0.01	0	0.01	0	0	0	0.01	0.01	0.01	0	0	0	0.006	0.007	0.005	0.005	0.007	0.004	0.006	0.01	0.007	0.005	0.014	0.01	0.014	0.009	0.006	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.02	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.02	0.02	0.01
Clostridium sp. AWRP	0.01	0	0	0.01	0	0	0	0.01	0.01	0	0.01	0.01	0	0	0	0	0	0.01	0.01	0.01	0	0.01	0.01	0	0	0.01	0	0.01	0.01	0	0	0	0.01	0.01	0	0.01	0.02	0.01	0.01	0.01	0	0	0.006	0.011	0.01	0.003	0.006	0.004	0.008	0.01	0.005	0.008	0.003	0.009	0.006	0.009	0.008	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.02	0.01	0.02	0.02	0.02	0.01	0.01	0.01	0.02	0.01	0.01
Hungateiclostridium saccincola	0.01	0	0.01	0.01	0	0	0	0.01	0	0	0.01	0.01	0	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0	0	0.01	0.01	0	0.01	0.01	0	0	0	0.01	0.01	0	0	0	0.01	0.01	0.01	0	0	0.008	0.012	0.006	0.003	0.007	0.004	0.009	0.009	0.007	0.012	0.005	0.01	0.014	0.013	0.007	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.02	0.01	0.01	0.02	0.02	0.01	0.01	0.01	0.02	0.02	0.01
Lysinibacillus sphaericus	0.01	0	0.01	0.01	0.01	0	0	0.01	0	0.01	0.01	0.01	0	0.01	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0	0.01	0	0.01	0	0	0	0	0.01	0	0	0	0	0	0	0.01	0	0	0	0	0.006	0.005	0.005	0.004	0.004	0.004	0.004	0.008	0.005	0.009	0.003	0.005	0.006	0.005	0.005	0.02	0.03	0.02	0.01	0.01	0.01	0.01	0.02	0.02	0.02	0.01	0.02	0.01	0.02	0.01	0.01	0.01	0.01	0.02	0.02	0.01	0.01	0.01	0.01	0.02	0.02	0.01	0.01	0.01	0.01	0.01	0.05	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.02	0.02	0.02	0.01
Acidaminococcus fermentans	0.09	0.01	0.02	0.01	0.01	0	0.01	0.09	0.01	0.01	0.01	0.01	0.01	0.01	0.12	0.01	0.02	0.01	0.01	0.01	0.01	0.06	0.01	0.02	0	0.01	0.01	0.01	0.15	0	0.02	0	0.01	0.01	0.01	0.1	0	0.02	0.01	0.03	0.02	0.01	0.014	0.061	0.019	0.013	0.018	0.009	0.065	0.022	0.009	0.037	0.01	0.026	0.014	0.012	0.02	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.02	0.02	0.02	0.01	0.02	0.01	0.01	0.01	0.01	0.02	0.02	0.01	0.01	0.01	0.02	0.02	0.02	0.01	0.02	0.01	0.01	0	0.01	0.01	0	0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.02	0.01	0.02	0.03	0.01	0.02	0.02	0.02	0.02	0.02
Parvimonas micra	0	0	0.01	0.01	0	0	0	0.01	0	0	0.01	0	0	0.02	0	0	0.01	0.01	0	0.01	0.01	0.01	0	0.01	0	0.01	0	0.01	0.01	0	0.01	0	0.01	0	0.01	0.01	0	0.01	0.01	0.02	0	0.05	0.008	0.008	0.006	0.004	0.008	0.003	0.008	0.004	0.007	0.015	0.004	0.008	0.01	0.008	0.009	0.02	0.02	0.02	0.01	0.02	0.02	0.02	0.02	0.02	0.02	0.01	0.02	0.01	0.02	0.01	0.01	0.01	0.02	0.02	0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.01	0.02	0.02	0.02	0.02	0.01
